REVIDX {'True Positives.N': 227L, 'Setup.Runtime': 0.05, 'Distinct Edges.N': 301828L, 'Scoring.Runtime': 0.11999999999999987, 'F-Measure.F-Measure': 0.0039746811062570594, 'Setup.Memory': 17027072L, 'Scoring.Memory': 45006848L, 'False Positives.N': 113313, 'Recall.Recall': 0.3323572474377745, 'Average Weight.N': 1.5406589183243438, 'Graph.Memory': 17039360L, 'Ground Truth Entity Pairs.N': 683, 'Pruning.Runtime': 1.01, 'Precision.Precision': 0.0019992954025013212, 'Overall Runtime.Runtime': 2.2199999999999998, 'Records.N': 1000, 'Pruning.Memory': 30326784L, 'Total Weight.N': 465014L, 'Graph.Runtime': 1.0299999999999998, 'False Negatives.N': 456, 'RevIdx.Runtime': 0.009999999999999995, 'Output Entity Pairs.N': 113540, 'RevIdx.Memory': 17031168L}
REVIDX {'True Positives.N': 451L, 'Setup.Runtime': 0.11, 'Distinct Edges.N': 1221032L, 'Scoring.Runtime': 0.6600000000000008, 'F-Measure.F-Measure': 0.0021822334263967985, 'Setup.Memory': 21512192L, 'Scoring.Memory': 115884032L, 'False Positives.N': 409395, 'Recall.Recall': 0.12915234822451319, 'Average Weight.N': 1.47699814583074, 'Graph.Memory': 21663744L, 'Ground Truth Entity Pairs.N': 3492, 'Pruning.Runtime': 3.9799999999999995, 'Precision.Precision': 0.0011004133259809783, 'Overall Runtime.Runtime': 8.73, 'Records.N': 2000, 'Pruning.Memory': 67006464L, 'Total Weight.N': 1803462L, 'Graph.Runtime': 3.9799999999999995, 'False Negatives.N': 3041, 'RevIdx.Runtime': 0.0, 'Output Entity Pairs.N': 409846, 'RevIdx.Memory': 21651456L}
REVIDX {'True Positives.N': 626L, 'Setup.Runtime': 0.16999999999999998, 'Distinct Edges.N': 2573761L, 'Scoring.Runtime': 1.3700000000000008, 'F-Measure.F-Measure': 0.0015629408254624532, 'Setup.Memory': 25980928L, 'Scoring.Memory': 181444608L, 'False Positives.N': 795915, 'Recall.Recall': 0.13871039220031023, 'Average Weight.N': 1.4398800043982327, 'Graph.Memory': 25993216L, 'Ground Truth Entity Pairs.N': 4513, 'Pruning.Runtime': 8.219999999999997, 'Precision.Precision': 0.0007858980265924792, 'Overall Runtime.Runtime': 18.01, 'Records.N': 3000, 'Pruning.Memory': 115052544L, 'Total Weight.N': 3705907L, 'Graph.Runtime': 8.24, 'False Negatives.N': 3887, 'RevIdx.Runtime': 0.010000000000000009, 'Output Entity Pairs.N': 796541, 'RevIdx.Memory': 25985024L}
REVIDX {'True Positives.N': 746L, 'Setup.Runtime': 0.22000000000000003, 'Distinct Edges.N': 4192835L, 'Scoring.Runtime': 2.770000000000002, 'F-Measure.F-Measure': 0.001118600100464084, 'Setup.Memory': 29835264L, 'Scoring.Memory': 270876672L, 'False Positives.N': 1328116, 'Recall.Recall': 0.150767987065481, 'Average Weight.N': 1.4553880608228085, 'Graph.Memory': 29900800L, 'Ground Truth Entity Pairs.N': 4948, 'Pruning.Runtime': 13.53, 'Precision.Precision': 0.0005613825965374885, 'Overall Runtime.Runtime': 30.1, 'Records.N': 4000, 'Pruning.Memory': 171110400L, 'Total Weight.N': 6102202L, 'Graph.Runtime': 13.57, 'False Negatives.N': 4202, 'RevIdx.Runtime': 0.010000000000000009, 'Output Entity Pairs.N': 1328862, 'RevIdx.Memory': 29892608L}
REVIDX {'True Positives.N': 915L, 'Setup.Runtime': 0.28, 'Distinct Edges.N': 6412684L, 'Scoring.Runtime': 4.190000000000001, 'F-Measure.F-Measure': 0.0008913072701450055, 'Setup.Memory': 31330304L, 'Scoring.Memory': 354791424L, 'False Positives.N': 2046468, 'Recall.Recall': 0.15827711468604047, 'Average Weight.N': 1.4611599448842325, 'Graph.Memory': 31547392L, 'Ground Truth Entity Pairs.N': 5781, 'Pruning.Runtime': 21.009999999999998, 'Precision.Precision': 0.00044691198471414484, 'Overall Runtime.Runtime': 46.71, 'Records.N': 5000, 'Pruning.Memory': 258318336L, 'Total Weight.N': 9369957L, 'Graph.Runtime': 21.23, 'False Negatives.N': 4866, 'RevIdx.Runtime': 0.0, 'Output Entity Pairs.N': 2047383, 'RevIdx.Memory': 31539200L}
REVIDX {'True Positives.N': 1081L, 'Setup.Runtime': 0.32, 'Distinct Edges.N': 8489946L, 'Scoring.Runtime': 6.579999999999998, 'F-Measure.F-Measure': 0.0008110552609238302, 'Setup.Memory': 32387072L, 'Scoring.Memory': 482295808L, 'False Positives.N': 2658228, 'Recall.Recall': 0.1701290525653132, 'Average Weight.N': 1.4521512857678953, 'Graph.Memory': 32460800L, 'Ground Truth Entity Pairs.N': 6354, 'Pruning.Runtime': 27.790000000000003, 'Precision.Precision': 0.0004064965748621164, 'Overall Runtime.Runtime': 62.4, 'Records.N': 6000, 'Pruning.Memory': 315629568L, 'Total Weight.N': 12328686L, 'Graph.Runtime': 27.7, 'False Negatives.N': 5273, 'RevIdx.Runtime': 0.010000000000000009, 'Output Entity Pairs.N': 2659309, 'RevIdx.Memory': 32452608L}
REVIDX {'True Positives.N': 1199L, 'Setup.Runtime': 0.36000000000000004, 'Distinct Edges.N': 11221326L, 'Scoring.Runtime': 8.479999999999997, 'F-Measure.F-Measure': 0.0006798763407569705, 'Setup.Memory': 33689600L, 'Scoring.Memory': 580993024L, 'False Positives.N': 3519013, 'Recall.Recall': 0.17376811594202898, 'Average Weight.N': 1.453583203981419, 'Graph.Memory': 33894400L, 'Ground Truth Entity Pairs.N': 6900, 'Pruning.Runtime': 36.42, 'Precision.Precision': 0.0003406044863207102, 'Overall Runtime.Runtime': 82.11, 'Records.N': 7000, 'Pruning.Memory': 414044160L, 'Total Weight.N': 16311131L, 'Graph.Runtime': 36.830000000000005, 'False Negatives.N': 5701, 'RevIdx.Runtime': 0.019999999999999962, 'Output Entity Pairs.N': 3520212, 'RevIdx.Memory': 33886208L}
REVIDX {'True Positives.N': 1291L, 'Setup.Runtime': 0.41000000000000003, 'Distinct Edges.N': 14035763L, 'Scoring.Runtime': 11.440000000000001, 'F-Measure.F-Measure': 0.0005804940944505709, 'Setup.Memory': 35762176L, 'Scoring.Memory': 841949184L, 'False Positives.N': 4439305, 'Recall.Recall': 0.17590952445837307, 'Average Weight.N': 1.457124561023152, 'Graph.Memory': 35819520L, 'Ground Truth Entity Pairs.N': 7339, 'Pruning.Runtime': 45.800000000000004, 'Precision.Precision': 0.00029072674028441227, 'Overall Runtime.Runtime': 103.53, 'Records.N': 8000, 'Pruning.Memory': 548339712L, 'Total Weight.N': 20451855L, 'Graph.Runtime': 45.86, 'False Negatives.N': 6048, 'RevIdx.Runtime': 0.019999999999999962, 'Output Entity Pairs.N': 4440596, 'RevIdx.Memory': 35811328L}
REVIDX {'True Positives.N': 1498L, 'Setup.Runtime': 0.46, 'Distinct Edges.N': 18006183L, 'Scoring.Runtime': 15.210000000000003, 'F-Measure.F-Measure': 0.0005296054015508459, 'Setup.Memory': 37056512L, 'Scoring.Memory': 994525184L, 'False Positives.N': 5647644, 'Recall.Recall': 0.18962025316455697, 'Average Weight.N': 1.4547077523315186, 'Graph.Memory': 37302272L, 'Ground Truth Entity Pairs.N': 7900, 'Pruning.Runtime': 58.540000000000006, 'Precision.Precision': 0.000265173012114052, 'Overall Runtime.Runtime': 132.78, 'Records.N': 9000, 'Pruning.Memory': 693313536L, 'Total Weight.N': 26193734L, 'Graph.Runtime': 58.55, 'False Negatives.N': 6402, 'RevIdx.Runtime': 0.020000000000000018, 'Output Entity Pairs.N': 5649142, 'RevIdx.Memory': 37294080L}
REVIDX {'True Positives.N': 1673L, 'Setup.Runtime': 0.53, 'Distinct Edges.N': 22774065L, 'Scoring.Runtime': 18.5, 'F-Measure.F-Measure': 0.00047090355076195324, 'Setup.Memory': 38522880L, 'Scoring.Memory': 1103040512L, 'False Positives.N': 7095376, 'Recall.Recall': 0.19822274881516588, 'Average Weight.N': 1.450060715994268, 'Graph.Memory': 38731776L, 'Ground Truth Entity Pairs.N': 8440, 'Pruning.Runtime': 73.94999999999999, 'Precision.Precision': 0.00023573178091344725, 'Overall Runtime.Runtime': 167.3, 'Records.N': 10000, 'Pruning.Memory': 801804288L, 'Total Weight.N': 33023777L, 'Graph.Runtime': 74.28999999999999, 'False Negatives.N': 6767, 'RevIdx.Runtime': 0.029999999999999916, 'Output Entity Pairs.N': 7097049, 'RevIdx.Memory': 38723584L}
REVIDX {'True Positives.N': 2037L, 'Setup.Runtime': 0.5599999999999999, 'Distinct Edges.N': 28240616L, 'Scoring.Runtime': 21.520000000000003, 'F-Measure.F-Measure': 0.00048997299255395, 'Setup.Memory': 39473152L, 'Scoring.Memory': 1228374016L, 'False Positives.N': 8303118, 'Recall.Recall': 0.2124309104181875, 'Average Weight.N': 1.421397181987815, 'Graph.Memory': 39641088L, 'Ground Truth Entity Pairs.N': 9589, 'Pruning.Runtime': 89.46999999999998, 'Precision.Precision': 0.0002452693537929154, 'Overall Runtime.Runtime': 201.38, 'Records.N': 11000, 'Pruning.Memory': 926818304L, 'Total Weight.N': 40141132L, 'Graph.Runtime': 89.79, 'False Negatives.N': 7552, 'RevIdx.Runtime': 0.040000000000000036, 'Output Entity Pairs.N': 8305155, 'RevIdx.Memory': 39632896L}
